Stammera_capleta_CP024013.CDS.1
Stammera_capleta_CP024013.CDS.2	K00134
Stammera_capleta_CP024013.CDS.102	K03798
Stammera_capleta_CP024013.CDS.103	K03075
Stammera_capleta_CP024013.CDS.104	K02600
Stammera_capleta_CP024013.CDS.105
Stammera_capleta_CP024013.CDS.106	K02519
Stammera_capleta_CP024013.CDS.107	K02834
Stammera_capleta_CP024013.CDS.108	K03177
Stammera_capleta_CP024013.CDS.109	K01834
Stammera_capleta_CP024013.CDS.110	K03687
Stammera_capleta_CP024013.CDS.111	K03664
Stammera_capleta_CP024013.CDS.112	K05592
Stammera_capleta_CP024013.CDS.113	K00962
Stammera_capleta_CP024013.CDS.114	K02956
Stammera_capleta_CP024013.CDS.115	K04077
Stammera_capleta_CP024013.CDS.116	K04078
Stammera_capleta_CP024013.CDS.117	K08483
Stammera_capleta_CP024013.CDS.118	K02784
Stammera_capleta_CP024013.CDS.119	K03286
Stammera_capleta_CP024013.CDS.120	K02335
Stammera_capleta_CP024013.CDS.121	K03495
Stammera_capleta_CP024013.CDS.122	K02108
Stammera_capleta_CP024013.CDS.123	K02110
Stammera_capleta_CP024013.CDS.124	K02109
Stammera_capleta_CP024013.CDS.125	K02113
Stammera_capleta_CP024013.CDS.126	K02111
Stammera_capleta_CP024013.CDS.127	K02115
Stammera_capleta_CP024013.CDS.128	K02112
Stammera_capleta_CP024013.CDS.129	K02114
Stammera_capleta_CP024013.CDS.130	K01873
Stammera_capleta_CP024013.CDS.131	K01255
Stammera_capleta_CP024013.CDS.132	K02503
Stammera_capleta_CP024013.CDS.133	K01881
Stammera_capleta_CP024013.CDS.134	K04075
Stammera_capleta_CP024013.CDS.135	K01151
Stammera_capleta_CP024013.CDS.136	K11940
Stammera_capleta_CP024013.CDS.137	K03284
Stammera_capleta_CP024013.CDS.138	K03671
Stammera_capleta_CP024013.CDS.139	K03628
Stammera_capleta_CP024013.CDS.140	K01874
Stammera_capleta_CP024013.CDS.141	K03060
Stammera_capleta_CP024013.CDS.142	K00974
Stammera_capleta_CP024013.CDS.143	K01409
Stammera_capleta_CP024013.CDS.144	K02970
Stammera_capleta_CP024013.CDS.145	K02316
Stammera_capleta_CP024013.CDS.146	K03086
Stammera_capleta_CP024013.CDS.147	K02838
Stammera_capleta_CP024013.CDS.148	K07277
Stammera_capleta_CP024013.CDS.149
Stammera_capleta_CP024013.CDS.150	K02337
Stammera_capleta_CP024013.CDS.151	K02902
Stammera_capleta_CP024013.CDS.152	K02913
Stammera_capleta_CP024013.CDS.153	K03386
Stammera_capleta_CP024013.CDS.154	K02341
Stammera_capleta_CP024013.CDS.155	K07320
Stammera_capleta_CP024013.CDS.156	K06168
Stammera_capleta_CP024013.CDS.157	K06217
Stammera_capleta_CP024013.CDS.158	K07042
Stammera_capleta_CP024013.CDS.159	K03073
Stammera_capleta_CP024013.CDS.160	K02601
Stammera_capleta_CP024013.CDS.161	K02867
Stammera_capleta_CP024013.CDS.162	K02863
Stammera_capleta_CP024013.CDS.163	K02864
Stammera_capleta_CP024013.CDS.164	K02935
Stammera_capleta_CP024013.CDS.165	K03043
Stammera_capleta_CP024013.CDS.166	K03046
Stammera_capleta_CP024013.CDS.167	K01867
Stammera_capleta_CP024013.CDS.168	K03648
Stammera_capleta_CP024013.CDS.169
Stammera_capleta_CP024013.CDS.170	K03595
Stammera_capleta_CP024013.CDS.171	K03685
Stammera_capleta_CP024013.CDS.172	K03100
Stammera_capleta_CP024013.CDS.173	K03596
Stammera_capleta_CP024013.CDS.174	K01885
Stammera_capleta_CP024013.CDS.175	K06131
Stammera_capleta_CP024013.CDS.176
Stammera_capleta_CP024013.CDS.177	K02357
Stammera_capleta_CP024013.CDS.178	K02967
Stammera_capleta_CP024013.CDS.179	K01265
Stammera_capleta_CP024013.CDS.180	K01611
Stammera_capleta_CP024013.CDS.181	K06204
Stammera_capleta_CP024013.CDS.182	K01886
Stammera_capleta_CP024013.CDS.183	K00850
Stammera_capleta_CP024013.CDS.184	K00784
Stammera_capleta_CP024013.CDS.185	K03839
Stammera_capleta_CP024013.CDS.186	K00927
Stammera_capleta_CP024013.CDS.187	K01624
Stammera_capleta_CP024013.CDS.188	K03592
Stammera_capleta_CP024013.CDS.189	K01507
Stammera_capleta_CP024013.CDS.190	K06890
Stammera_capleta_CP024013.CDS.191	K01061
Stammera_capleta_CP024013.CDS.192	K01890
Stammera_capleta_CP024013.CDS.193	K01889
Stammera_capleta_CP024013.CDS.194	K02887
Stammera_capleta_CP024013.CDS.195	K02916
Stammera_capleta_CP024013.CDS.196	K02520
Stammera_capleta_CP024013.CDS.197	K01868
Stammera_capleta_CP024013.CDS.198	K07038
Stammera_capleta_CP024013.CDS.199	K03583
Stammera_capleta_CP024013.CDS.200	K03582
Stammera_capleta_CP024013.CDS.201	K03581
Stammera_capleta_CP024013.CDS.202
Stammera_capleta_CP024013.CDS.203	K01869
Stammera_capleta_CP024013.CDS.204	K08300
Stammera_capleta_CP024013.CDS.205	K06179
Stammera_capleta_CP024013.CDS.206	K02911
Stammera_capleta_CP024013.CDS.207	K03980
Stammera_capleta_CP024013.CDS.208	K02426
Stammera_capleta_CP024013.CDS.209	K11717
Stammera_capleta_CP024013.CDS.210	K11717
Stammera_capleta_CP024013.CDS.211	K09015
Stammera_capleta_CP024013.CDS.212	K09013
Stammera_capleta_CP024013.CDS.213	K09014
Stammera_capleta_CP024013.CDS.214	K03778
Stammera_capleta_CP024013.CDS.215	K07447
Stammera_capleta_CP024013.CDS.216	K06180
Stammera_capleta_CP024013.CDS.217	K03650
Stammera_capleta_CP024013.CDS.218	K03217
Stammera_capleta_CP024013.CDS.219	K03536
Stammera_capleta_CP024013.CDS.220	K02914
Stammera_capleta_CP024013.CDS.221	K02313
Stammera_capleta_CP024013.CDS.222	K02338
Stammera_capleta_CP024013.CDS.223	K02470
Stammera_capleta_CP024013.CDS.224	K02959
Stammera_capleta_CP024013.CDS.225	K00554
Stammera_capleta_CP024013.CDS.226	K02884
Stammera_capleta_CP024013.CDS.227	K06173
Stammera_capleta_CP024013.CDS.228
Stammera_capleta_CP024013.CDS.229	K01689
Stammera_capleta_CP024013.CDS.230	K01866
Stammera_capleta_CP024013.CDS.231	K00873
Stammera_capleta_CP024013.CDS.232	K02469
Stammera_capleta_CP024013.CDS.233
Stammera_capleta_CP024013.CDS.234	K02796
Stammera_capleta_CP024013.CDS.235	K02795
Stammera_capleta_CP024013.CDS.236	K02793
Stammera_capleta_CP024013.CDS.236	K02794
Stammera_capleta_CP024013.CDS.237	K03573
Stammera_capleta_CP024013.CDS.238	K04567
Stammera_capleta_CP024013.CDS.239	K01056
Stammera_capleta_CP024013.CDS.240	K02835
Stammera_capleta_CP024013.CDS.241	K02493
Stammera_capleta_CP024013.CDS.242	K01887
Stammera_capleta_CP024013.CDS.243	K01887
Stammera_capleta_CP024013.CDS.244	K01876
Stammera_capleta_CP024013.CDS.245	K01159
Stammera_capleta_CP024013.CDS.246	K03704
Stammera_capleta_CP024013.CDS.247
Stammera_capleta_CP024013.CDS.248
Stammera_capleta_CP024013.CDS.249
Stammera_capleta_CP024013.CDS.250	K02824
Stammera_capleta_CP024013.CDS.251
Stammera_capleta_CP024013.CDS.252	K01184
Stammera_capleta_CP024013.CDS.253	K18195
